Namespace(auto_shutdown_failure_delay_mins=120, auto_shutdown_success_delay_mins=10, data='/home/ubuntu/data/imagenet', dist_backend='nccl', dist_url='env://', distributed=True, evaluate=False, fp16=True, init_bn0=True, local_rank=0, logdir='/ncluster/runs/imagenet-1.03', loss_scale=1, momentum=0.9, no_bn_wd=True, phases="[{'ep': 0, 'sz': 128, 'bs': 512, 'trndir': '-sz/160'}, {'ep': (0, 7), 'lr': (1.0, 2.0)}, {'ep': (7, 13), 'lr': (2.0, 0.25)}, {'ep': 13, 'sz': 224, 'bs': 224, 'trndir': '-sz/352', 'min_scale': 0.087}, {'ep': (13, 22), 'lr': (0.4375, 0.043750000000000004)}, {'ep': (22, 25), 'lr': (0.043750000000000004, 0.004375)}, {'ep': 25, 'sz': 288, 'bs': 128, 'min_scale': 0.5, 'rect_val': True}, {'ep': (25, 28), 'lr': (0.0025, 0.00025)}]", print_freq=5, resume='', short_epoch=False, skip_auto_shutdown=False, skip_eval=False, start_epoch=0, weight_decay=0.0001, workers=8)
~~epoch	hours	top1Accuracy	top5Accuracy

Dataset changed.
Image size: 128
Batch size: 512
Train Directory: /home/ubuntu/data/imagenet-sz/160/train
Validation Directory: /home/ubuntu/data/imagenet-sz/160/validation
Changing LR from None to 1.0004564125969877
Epoch: [0][135/313]	Time 1.351 (0.779)	Data 0.003 (0.225)	Loss 5.7681 (6.2425)	Prec@1 3.882 (2.277)	Prec@5 12.720 (7.314)	BW 0.000 0.000
Epoch: [0][140/313]	Time 0.234 (0.762)	Data 0.004 (0.218)	Loss 5.7754 (6.2263)	Prec@1 3.809 (2.341)	Prec@5 12.671 (7.498)	BW 0.000 0.000
Epoch: [0][145/313]	Time 0.404 (0.768)	Data 0.004 (0.221)	Loss 5.7412 (6.2091)	Prec@1 4.126 (2.409)	Prec@5 13.037 (7.686)	BW 0.000 0.000
Epoch: [0][150/313]	Time 2.179 (0.766)	Data 1.311 (0.225)	Loss 5.7104 (6.1922)	Prec@1 4.199 (2.481)	Prec@5 12.671 (7.888)	BW 0.000 0.000
Epoch: [0][155/313]	Time 0.447 (0.759)	Data 0.218 (0.220)	Loss 5.6646 (6.1757)	Prec@1 4.517 (2.553)	Prec@5 13.770 (8.079)	BW 0.000 0.000
Epoch: [0][160/313]	Time 0.236 (0.760)	Data 0.004 (0.222)	Loss 5.6357 (6.1597)	Prec@1 5.127 (2.624)	Prec@5 14.258 (8.275)	BW 0.000 0.000
Epoch: [0][165/313]	Time 0.236 (0.750)	Data 0.004 (0.218)	Loss 5.5986 (6.1436)	Prec@1 5.444 (2.693)	Prec@5 15.332 (8.465)	BW 0.000 0.000
Epoch: [0][170/313]	Time 0.236 (0.755)	Data 0.004 (0.220)	Loss 5.6685 (6.1278)	Prec@1 5.005 (2.768)	Prec@5 14.185 (8.662)	BW 0.000 0.000
Epoch: [0][175/313]	Time 0.649 (0.756)	Data 0.004 (0.223)	Loss 5.5942 (6.1134)	Prec@1 5.078 (2.833)	Prec@5 15.527 (8.842)	BW 0.000 0.000
Epoch: [0][180/313]	Time 0.235 (0.748)	Data 0.004 (0.222)	Loss 5.5264 (6.0982)	Prec@1 5.493 (2.904)	Prec@5 15.649 (9.028)	BW 0.000 0.000
Epoch: [0][185/313]	Time 0.358 (0.749)	Data 0.004 (0.222)	Loss 5.5190 (6.0828)	Prec@1 5.469 (2.977)	Prec@5 16.943 (9.219)	BW 0.000 0.000
Epoch: [0][190/313]	Time 2.374 (0.752)	Data 0.857 (0.226)	Loss 5.4922 (6.0688)	Prec@1 5.542 (3.045)	Prec@5 16.772 (9.395)	BW 0.000 0.000
Epoch: [0][195/313]	Time 1.187 (0.746)	Data 0.957 (0.226)	Loss 5.4180 (6.0532)	Prec@1 6.494 (3.123)	Prec@5 18.555 (9.600)	BW 0.000 0.000
Epoch: [0][200/313]	Time 0.236 (0.747)	Data 0.004 (0.224)	Loss 5.5049 (6.0383)	Prec@1 5.811 (3.189)	Prec@5 16.406 (9.783)	BW 0.000 0.000
Epoch: [0][205/313]	Time 0.237 (0.740)	Data 0.004 (0.225)	Loss 5.4507 (6.0248)	Prec@1 6.226 (3.262)	Prec@5 17.041 (9.958)	BW 0.000 0.000
Epoch: [0][210/313]	Time 0.236 (0.740)	Data 0.004 (0.223)	Loss 5.3647 (6.0102)	Prec@1 6.812 (3.342)	Prec@5 18.921 (10.148)	BW 0.000 0.000
Epoch: [0][215/313]	Time 1.284 (0.745)	Data 0.005 (0.225)	Loss 5.3628 (5.9963)	Prec@1 6.860 (3.412)	Prec@5 19.409 (10.327)	BW 0.000 0.000
Epoch: [0][220/313]	Time 0.235 (0.736)	Data 0.004 (0.223)	Loss 5.3838 (5.9817)	Prec@1 6.909 (3.494)	Prec@5 19.263 (10.519)	BW 0.000 0.000
Epoch: [0][225/313]	Time 0.237 (0.739)	Data 0.005 (0.221)	Loss 5.3218 (5.9670)	Prec@1 6.396 (3.574)	Prec@5 18.335 (10.712)	BW 0.000 0.000
Epoch: [0][230/313]	Time 2.371 (0.739)	Data 0.755 (0.222)	Loss 5.2822 (5.9527)	Prec@1 7.422 (3.653)	Prec@5 20.117 (10.905)	BW 0.000 0.000
Epoch: [0][235/313]	Time 0.391 (0.733)	Data 0.161 (0.219)	Loss 5.3647 (5.9393)	Prec@1 6.152 (3.725)	Prec@5 17.993 (11.081)	BW 0.000 0.000
Epoch: [0][240/313]	Time 0.237 (0.736)	Data 0.004 (0.219)	Loss 5.2427 (5.9255)	Prec@1 8.252 (3.802)	Prec@5 20.703 (11.268)	BW 0.000 0.000
Epoch: [0][245/313]	Time 0.239 (0.727)	Data 0.006 (0.215)	Loss 5.3047 (5.9130)	Prec@1 7.690 (3.875)	Prec@5 19.702 (11.438)	BW 0.000 0.000
Epoch: [0][250/313]	Time 0.237 (0.731)	Data 0.004 (0.215)	Loss 5.2549 (5.9008)	Prec@1 8.203 (3.945)	Prec@5 20.703 (11.608)	BW 0.000 0.000
Epoch: [0][255/313]	Time 1.331 (0.735)	Data 0.003 (0.214)	Loss 5.2192 (5.8880)	Prec@1 8.081 (4.020)	Prec@5 20.093 (11.775)	BW 0.000 0.000
Epoch: [0][260/313]	Time 0.235 (0.726)	Data 0.004 (0.210)	Loss 5.2085 (5.8749)	Prec@1 8.643 (4.098)	Prec@5 21.753 (11.956)	BW 0.000 0.000
Epoch: [0][265/313]	Time 0.533 (0.731)	Data 0.004 (0.210)	Loss 5.1826 (5.8620)	Prec@1 8.569 (4.180)	Prec@5 21.826 (12.134)	BW 0.000 0.000
Epoch: [0][270/313]	Time 2.630 (0.731)	Data 0.317 (0.207)	Loss 5.1211 (5.8485)	Prec@1 8.423 (4.262)	Prec@5 22.656 (12.328)	BW 0.000 0.000
Epoch: [0][275/313]	Time 0.237 (0.727)	Data 0.004 (0.204)	Loss 5.1274 (5.8352)	Prec@1 8.838 (4.347)	Prec@5 22.729 (12.513)	BW 0.000 0.000
Epoch: [0][280/313]	Time 0.237 (0.728)	Data 0.004 (0.201)	Loss 5.1646 (5.8231)	Prec@1 9.180 (4.424)	Prec@5 22.412 (12.686)	BW 0.000 0.000
Epoch: [0][285/313]	Time 0.236 (0.721)	Data 0.004 (0.198)	Loss 5.1123 (5.8103)	Prec@1 8.154 (4.503)	Prec@5 22.168 (12.871)	BW 0.000 0.000
Epoch: [0][290/313]	Time 0.236 (0.724)	Data 0.004 (0.196)	Loss 5.0747 (5.7973)	Prec@1 9.717 (4.587)	Prec@5 23.755 (13.055)	BW 0.000 0.000
Epoch: [0][295/313]	Time 1.208 (0.727)	Data 0.004 (0.195)	Loss 5.0088 (5.7847)	Prec@1 10.010 (4.670)	Prec@5 24.707 (13.235)	BW 0.000 0.000
Epoch: [0][300/313]	Time 0.235 (0.720)	Data 0.003 (0.193)	Loss 5.0356 (5.7725)	Prec@1 8.813 (4.747)	Prec@5 23.560 (13.411)	BW 0.000 0.000
Epoch: [0][305/313]	Time 0.236 (0.723)	Data 0.003 (0.190)	Loss 5.0024 (5.7607)	Prec@1 9.985 (4.829)	Prec@5 24.609 (13.582)	BW 0.000 0.000
Epoch: [0][310/313]	Time 0.249 (0.715)	Data 0.003 (0.187)	Loss 5.0186 (5.7483)	Prec@1 10.474 (4.917)	Prec@5 25.098 (13.763)	BW 0.000 0.000
Changing LR from 1.142400730260155 to 1.1428571428571428
Epoch: [0][313/313]	Time 8.566 (0.737)	Data 0.003 (0.186)	Loss 5.0630 (5.7417)	Prec@1 8.613 (4.962)	Prec@5 23.787 (13.862)	BW 0.000 0.000
Test: [5/13]	Time 0.082 (0.648)	Loss 5.1646 (5.1070)	Prec@1 8.423 (8.867)	Prec@5 21.973 (23.584)
Test: [10/13]	Time 0.081 (0.465)	Loss 5.1412 (5.0984)	Prec@1 8.929 (9.348)	Prec@5 23.186 (23.642)
Test: [13/13]	Time 0.081 (0.376)	Loss 5.1719 (5.1234)	Prec@1 7.533 (9.106)	Prec@5 22.349 (23.036)
~~0	0.06584964611111112	9.106	23.036

Changing LR from 1.1428571428571428 to 1.1433135554541305
Epoch: [1][5/313]	Time 0.237 (0.648)	Data 0.004 (0.313)	Loss 4.9624 (4.9593)	Prec@1 10.376 (10.161)	Prec@5 25.146 (25.200)	BW 0.000 0.000
Epoch: [1][10/313]	Time 0.237 (0.453)	Data 0.004 (0.169)	Loss 4.9136 (4.9387)	Prec@1 11.084 (10.605)	Prec@5 26.709 (25.669)	BW 0.000 0.001
Epoch: [1][15/313]	Time 0.233 (0.388)	Data 0.001 (0.121)	Loss 4.9253 (4.9343)	Prec@1 10.181 (10.529)	Prec@5 25.732 (25.796)	BW 0.000 0.001
Epoch: [1][20/313]	Time 0.247 (0.358)	Data 0.004 (0.098)	Loss 4.9033 (4.9270)	Prec@1 10.986 (10.627)	Prec@5 26.758 (25.969)	BW 0.000 0.001
Epoch: [1][25/313]	Time 0.240 (0.339)	Data 0.003 (0.084)	Loss 4.8662 (4.9142)	Prec@1 10.913 (10.735)	Prec@5 26.318 (26.163)	BW 0.000 0.001
Epoch: [1][30/313]	Time 0.237 (0.325)	Data 0.004 (0.074)	Loss 4.8804 (4.9077)	Prec@1 11.060 (10.761)	Prec@5 26.172 (26.275)	BW 0.000 0.001
Epoch: [1][35/313]	Time 0.236 (0.316)	Data 0.003 (0.067)	Loss 4.8877 (4.9013)	Prec@1 11.523 (10.831)	Prec@5 26.855 (26.409)	BW 0.000 0.001
Epoch: [1][40/313]	Time 0.238 (0.309)	Data 0.004 (0.062)	Loss 4.8765 (4.8963)	Prec@1 10.620 (10.837)	Prec@5 26.343 (26.462)	BW 0.000 0.001
Epoch: [1][45/313]	Time 0.249 (0.303)	Data 0.004 (0.058)	Loss 4.8115 (4.8881)	Prec@1 11.841 (10.965)	Prec@5 27.173 (26.635)	BW 0.000 0.001
Epoch: [1][50/313]	Time 0.242 (0.299)	Data 0.005 (0.055)	Loss 4.8574 (4.8808)	Prec@1 11.279 (11.039)	Prec@5 28.174 (26.791)	BW 0.000 0.001
Epoch: [1][55/313]	Time 0.236 (0.295)	Data 0.003 (0.052)	Loss 4.8345 (4.8765)	Prec@1 10.864 (11.086)	Prec@5 27.417 (26.873)	BW 0.000 0.001
Epoch: [1][60/313]	Time 0.235 (0.292)	Data 0.003 (0.050)	Loss 4.8198 (4.8706)	Prec@1 12.354 (11.165)	Prec@5 28.247 (26.984)	BW 0.000 0.001
Epoch: [1][65/313]	Time 0.240 (0.289)	Data 0.004 (0.048)	Loss 4.8174 (4.8618)	Prec@1 11.719 (11.243)	Prec@5 27.417 (27.134)	BW 0.000 0.001
Epoch: [1][70/313]	Time 0.239 (0.287)	Data 0.007 (0.046)	Loss 4.7803 (4.8557)	Prec@1 11.841 (11.307)	Prec@5 27.759 (27.249)	BW 0.000 0.001
